Date,PeopleInvolved,PersonOfFocus,EventType,EventDescription,OrganizationsInvolved,Location,CommunicationDetails,ClassificationLevel,SourcePage
10 July 62; 30 Aug 62; 31 Oct 63,,,,"Entries marked with ""DBA"" and numbers; 63719, 64405, 20883, 64406; For file:; Im unable to extract any forensic-level details from the provided image.; For file:",,,,,124
01 Oct 56; 01 Jan 58,"Butler, FNU; Butler, Lt. Cmdr; Butler, FNU /Ambassador/",,,,Cuba-July 48 Cuba,,,S-E-C-R-E-T,125
June (no year specified),J. Berry,,,No specific events or actions detailed.,WH-1; Reference to limousine,,Mention of all agents that could imply communication or instruction to a group of agents.,No explicit classifications or visible redactions noted.; For file:,126
,Raymond L. Bannenas,,,,,,References to aliases and possible code names.,"Document noted with identification 32352508, page 2, and 11815. Several erasures or redactions are apparent.; For file:",127
,George Cooldworoth,,,Supplying cover and ghost payrolling over the years to evade social security payments and income tax payments to; GOM.,,,,,128
1957,"Gerende; Husband of Gerende; Reference to ""Janos""",,,"Gerende's husband worked against Soviet and allied espionage.; Gerende received 5 weeks of support in 1957.; Supported ""Janos"" operation.; Gerende worked in various phases of operations but recently limited to inactivity.","References ""ARO in Laos""",,Not specified.,No classifications or redactions noted.; For file:; ```plaintext,129
15 November 1974,None,,,Handling of black-taped dossiers and documents as restricted materials.; Transfer process for inactive 201 dossiers to Central Files.,,,Internal routing processes and record handling for dossiers.,"Secret; Compliance with DOHB 70-1-1, Chapter III, Annex B; ```; For file:",130
15 November 1974,,,,"Listings are sorted alphabetically by surname or location.; Standard and non-standard listings are printed semiannually.; Special listings are unscheduled and non-standard, produced on a one-time basis.; Requests for listings should be directed to the Records Management Officer.",,,,"Document is marked as ""SECRET.""; ""REPRODUCTION PROHIBITED"" is stamped on the document.; For file:",131
At the end of each calendar year.,,,,,Domestic Collection Division,,,Secret; For file:,132
2/6/73; 3/9/64; 6/16/70; 2/23/73,,,,,CIA,,,Approved for release 1994; CIA Historical Review Program; For file:,133
Revised; 23 February 1973,,,,,,,,"Originally marked ""SECRET,"" but crossed out; E2 IMPDET; For file:",134
15 November 1974,,,,Handling of black-taped dossiers as restricted.; Inactive 201 dossiers to be returned to Central Files.,Central Files,,,"Document is marked as ""SECRET""; ```; For file:",135
,Silvia Anna,,,"Visa request for Silvia Anna, requires processing seventy-two hours before telegraph sent.",CIA; Mexico City,,Communication directed to the Director from Mexico City regarding visa logistics.,"Document classified as ""Secret""; Marked for return to CIA, ""Do Not Reproduce""; RYBAT reference and certain details redacted.; For file:; Certainly, here's the extracted information",136
2 Nov 63 (Action date); 12 Nov 63 (Document date),Carlos Cruz Morales,,,"Action slated for 1630, 2 Nov 63",Mexico City; Federacion Universitario de Sociedades Estudiantiles (FUSA),,To; Director; From; Mexico City,"Classified as ""SECRET""; For file:",137
,,,,,,,,For file:,138
,Jose Luis (Zala),,,,Ultimas Novedades S.A.,,,Document contains redacted sections; For file:,139
Date; 8 October 1963,"Alfredo Davins; [Possibly other identity redacted under ""RONIS""]",,,None,Unit; SAS/E0; Location; Mexico City,,From; Director to Mexico City; Code; TYPIC AMLONG,"Classification; S-E-C-R-E-T; Redacted elements present, marked for identity as ""RONIS""; For file:",140
,,,,,CIA,,,"Document is marked for ""Background Use Only"" and ""Do Not Reproduce.""; For file:",141
4/18/73; 10; 10AM,J.A. Bander(?); B.A. Rasell(?),,,,,,,Secret; For file:,142
12 October 1963,SYPLATE 1 (alias),,,SYPLATE 1 will arrive on 12 October 1963 via an airline flight.; SYPLATE 1 will be in a heavy personal cover and stay for two days.,Reference to Air Lines Flight 305,,SYPLATE 1 instructed to establish contact and continue with discretion if directed.,,143
,,,,Conversation friendly and included discussion.,Mainland China.,,"Reference to a ""Research Scholar"" involved in a conversation.; For file:",,144
21 Oct 1963,,,,,CIA; Mexico City; For file:,,,,145
Fernando Palenzuela Vaqueri born 9 Nov 1923.; Maria Francisca Crespo Vaqueri born 28 Nov 1914.,Fernando Palenzuela Vaqueri; Mateo,,,,"Artemisa, Pinar Del Rio, Cuba; Havana, Cuba; Avenida 35 No. 9809, Marianao, Cuba",,,Secret; For file:,146
No specific dates mentioned.,No names explicitly mentioned.,,,Early evidence may indicate an organized counteraction.; Discussion of possible postponement of an event.,No specific organizations or locations mentioned.,,"Reference to ""response COSGC, letters"" suggesting past communications in 1957.","Document marked as ""SECRET.""; For file:; ```plaintext",147
,SKANAVICH (sp?),,,,,,,SECRET; ```; For file:,148
15 Mar 1967 (date on document),Wayne March (in draft); W.A. Tidwell; Alexsei Stapio (phone); William Kent (phone); John Seidel (phone); Jerry Cryer (phone),,,Coordination activities mentioned,No identifiable organizations or locations,,"Phone communications with Alexsei Stapio, William Kent, John Seidel, Jerry Cryer","Redaction visible at the top, but no classification level noted; For file:",149
,Antonio de Jesus (Pineda) Cabruza; J.C. King; Mr. Fitzgerald,,,,Reference to C/WH (potentially a division or unit within an organization).,,,"The document is marked as ""SECRET.""; No other information could be extracted from the image.; For file:",150
,William K. Harvey,,,Recommendation to abolish the Mongoose operational mechanism.,Task Force W within the DD/P (Directorate of Plans).,,,"Several sections are blackened out, indicating possible redactions.; For file:",151
5/7/'63,R. Helms; C. Halpern (unclear due to handwriting),,,"Discussion with ""your known"" (unclear); Information is being withheld regarding a subject.",FBI,,Note mentions communication or reference to the office of Mr. R. Helms.; Instructions were given to refer inquiries to the FBI.,None visible.; For file:,152
Born; circa 1926; Naturalized U.S. citizen; 1955,Tadeusz SZULC,,,,,,,For file:,153
,David A. Phillips; H.R. Keough,,,"Submission of a manuscript by David A. Phillips; Comments from Acting Chief, SOG, regarding the manuscript","Chief, EAB, Office of Security",,"Comments attached and addressed to the Chief, EAB, Office of Security, by H.R. Keough.","Document marked as ""INTERNAL USE ONLY"" with mentions of returning to CIA.; For file:",154
,Wm. Kim,,,,Washington,,,"""Return to CIA""; ""Background Use Only""; ""Do Not Reproduce""; For file:",155
,,,,,Southern Air Transport,,,"Classification; ""RETURN TO CIA"" and ""Background Use Only Do Not Reproduce""; For file:",156
"Sep 21, 1941; Mar 31, 1942; Nov 29, 1919; 1919-1925; 1925; Aug 11, 1942; 1935-1936; 1940-1941; Sep 1941; Jun 1943; July 1948; Apr 23, 1946; Feb 1948; Dec 23, 1947; May '51",Lucien Emile Conein; Rose Marnin; Monique Valer,,,"Brought to U.S.; no child, naturalized in 1942; Appointed to OSS, Jun 1943",Paris; Kansas City; USA; OSS,,Mention of spouse and divorce,"""Background Use Only"" noted at top; For file:",157
23 Sep 73; 1945-1972; 13 Dec 37,Lucien E. Conein; Richard L. Koberko; Stanley Koberko; Michael John Morrissey,,,,"CIA; Omaha, Neb.; Reed College; Alex, Va.; For file:",,,,158
18 Nov 1918; 7 July 59; 5 July 59,Tom Flores; Cabell; John Magruder,,,Phoned Cabell on 5 July 59; Service/position documented from July 45 to Dec 45,OSS (Office of Strategic Services); Burma; China; Dominican Republic,,Communication with Cabell via phone on 5 July 59,None noted; For file:,159
Feb '63,Art Smith,,,,Guatemala; Nicaragua; El Salvador,,,,160
"27 Apr 73; Jan 74, DCD review","Edwin Marger, Atty",,,Council for a free Abaco mentioned; Military Armored Corp referenced,Abaco; State Department?,,Not explicitly detailed,"""Return to CIA""; ""Background Use Only""; ```; For file:",161
8/12; (28 + 6175),John Muldoon,,,Minor Print,St. Marys; Kennedy; State A; Paul A.G.,,"Reference to a communication involving ""Robert"" and ""Craig""",For file:; ```plaintext,162
Estimated completion date; 20 August 1976,Hal Matter; A. F. Addonn,,,Request for status and date of completion of a Privacy Act case.; Estimation for case completion provided.,IPD/PIC,,"Communication involves a request for the status and date to be completed, with further inquiries directed to Hal; Matter, IPD/PIC, or A. F. Addonn.",```; For file:,163
"Date Received; 9-7-78, 7-10-78, 9-26-78; Date Returned; 7-7-78, 7-10-78",G. Robert Blakey; Kenneth Klein; Johanna Smith,,,,,,,"Stamp indicating ""APPROVED FOR RELEASE 2004"" with some illegible text.; For file:",164
,,,,,,,,"Classification; ""Top Secret"" (crossed out) and ""Eyes Only"".; For file:",165
2 NOV 1977; 3 NOV 1977,,,,"Discussion of a ""black notebook"" several weeks prior.; Note referring to prior discussion and advising contact with Bill Godson.",AC/CI/R&A/O; AC/CI/R&A; C/CI Staff; OGC,,Note involves communication between William H. Godson and Mr. John Hermes regarding filing.,"Form marked ""UNCLASSIFIED"" and ""INTERNAL USE ONLY.""; For file:",166
21 November 1972,"Theodore G. Shackley, C/EA; Mr. Greany (in draft); Mr. Rocca (in draft)",,,,Unit; EA/PHI/ANH,,,,167
October 1950; 1955; September 1956; 1918; 1950,Everett Strauss; Daniel Schlumberger; Nicholas Morat; Raoul Curiel; Henri Curiel; Gilbert Pontecorvo; Bruno Pontecorvo,,,"Approval for Daniel Schlumberger in April 1956, canceled in September 1956.; Reference to the archaeological expedition in Afghanistan (1918-1958).; Involvement of Bruno Pontecorvo in defecting to Russia in 1950.","Schlumberger Corporation; Well Surveying Corporation, Tulsa, Oklahoma; University of Strasbourg, France; Cairo, Egypt; Russia",,"Everett Strauss as Sales Manager for Schlumberger Corporation.; Family connection between Daniel Schlumberger, Raoul Curiel, and Henri Curiel.; Gilbert Pontecorvo identified as known Communist.; Connection with the Curiel family and the Schlumberger Corporation.","Use of ""CAUTION"" for security approval information.; For file:",168
"November 6, 1973",Mr. Leslie V. Jarvis,,,,ASIO; For file:,,,,169
,,,,,Organized crime in New South Wales,,,Classification; Secret; File Number; 5/3,170
,Jim Collis; Deputy Chief of Ground Photo Services Branch; Henry Van Tuyl; Herb Simmons; Dr. Proctor,,,"Discussion about the absence of a photo of ""albums"" in police custody at the assassination scene.; Jim Collis contacted Herb Simmons to arrange for a request in New York to Newsweek.",CRS Document Services Group; New York; Newsweek,,Mr. Collis communicated with Herb Simmons about managing the photo request process.; Herb Simmons mentioned that he could not make a request without Dr. Proctor's authorization.,For file:,171
17 May 1961; 23 May 1961,Gladys G. Dameron; Dr. Edward A.; Anne B. Salloc; Mrs. Salloc; Patricia; George,,,"A live address was established for Gladys G. Dameron.; Mrs. Salloc, Patricia, and George were briefed to accept communications for Mrs. Dameron.; Instructions were given on handling inquiries about Mrs. Damerons availability.","5611 Jason Street, Cheverly, Maryland",,"Briefing on accepting cables, letters, and telephone calls.; Mrs. Salloc or Patricia to contact the Reporting Agent if necessary.",None; For file:,172
18 May 1961; 22 May 1961,Mrs. Dearrurf; Morface H. Dearrurf; Dr. Galloch; Mrs. Galloch,,,"Mrs. Dearrurf was supposedly residing with certain individuals while expecting communication regarding Morface H.; Dearrurf, who is being held prisoner by a foreign government.",Cheverly Post Office; Hyattsville Post Office,,Dr. Galloch communicated with Mrs. Galloch and post office representatives regarding mail delivery.,For file:; Im unable to extract any meaningful information from the image provided.; For file:,173
12-24-59,"Ervan E. Kuhnke, Jr.",,,,,,,CLOSED; For file:,174
,Ludy,,,,,,,For file:,175
,,,,This cancels the original order and amendment  1 in their entirety.; For file:,,,,,176
14 Sept 63,,,,Date of polygraph outlined,,,,For file:,177
4/18/64,Fill and Price; J.B. Gaddy,,,,,,,For file:,178
p. 31; 31/A; p. 33; p. 38,Gen. Cushman; Judy E.; Nixon; Bundy,,,,Castro (implied location; Cuba),,"Mention of meeting between Gen. Cushman, Judy E.",None specified; For file:,179
,Douglas Gupton,,,,,,,For file:,180
2/27/77,Andrew J. Percival; Mr. Morrison; Mr. Isenstead; Mr. Koehler; Mr. Gambino,,,,,,,Secret; For file:,181
18 May 1961 (Document date); 17 May 1961 (Security approval date),Mr. Calvin W. Hicks; Richard Major; Victor L. White,,,Receipt of verbal request for security approval for documentation.; Documentation to be used for operational purposes in Florida.,WH Division; Quarters Eye; Florida; RYB/ORR,,"Memo from the Deputy Director of Security to Chief, WH Division.",Some sections appear to be redacted or obscured.; For file:,182
(2-28-61),"Ervan E. Kuhnke, Jr.",,,,,,,For file:,183
Document Date; 15 August 1973,Miguel P. Cossio; Diego S. Mardones,,,No specific events detailed,OS/OSD/C&D; Room 4 E 44,,"From; C/WH/Security, E. A. Cahill; To; Jerry Gabriel; Method; Routing and Record Sheet",Internal Use Only; For file:,184
Sept 15; 11/17,Miguel P. Cossio; Diego S. Hardones; Mr. Morales; Robert F. Baker,,,,CIA; Foreign Resources Division; WH Division; Maryland,,,Document sections appear to be marked for classification and declassification notes.; For file:,185
,,,,,CIA,,,"Marked as ""Secret""; ""Back... Only Do Not Reproduce""; ""Exclu... from aut...rele""; For file:",186
October 1963,,,,,,,,SECRET; GROUP 1; Excluded from automatic downgrading and declassification; For file:,187
Departure Date; Information partially unclear (appears to be in March).; Return Date; 16-17,State Designer (Cover name),,,,Columbia Rd. (Location); Office & Division; VH; For file:,,,,188
6 November 1926; 22 March 1900; JUL 78,Alberto Cesar Rodriguez Gallego; Victoria Gallego Hernandez,,,,"Havana, Cuba; Matanzas, Cuba; Madrid; Mexico City; Tels; Avenida Manzanares 194, Tel 269-6191 / Docana 1, Tel 718-3365",,,Secret; Redactions present; For file:,189
Phi Sigma Iota; 1951 - Present; American Assoc. of Teachers of Spanish & Portuguese; 1952 - Present; FOCSA BLDG; Oct. 1956 - June 1961; Finca Emilia; April 1959 - Oct. 1963; 2D Newcomb Campus; Aug. 1951 - April 1954; 510 Walnut St; Jan. 1950 - May 1951; 2305 S. Alvar Street; Dec. 1945 - Jan. 1950; 510 Walnut St; Nov. 1943 - Dec. 1945,,,,,"Phi Sigma Iota, Tulane University; American Assoc. of Teachers of Spanish & Portuguese, DePauw University; FOCSA BLDG, Havana, Cuba; Finca Emilia, San Francisco de Paula, Havana, Cuba; New Orleans, LA, U.S.A.",,,; For file:,190
,,,,The question of the subject and/or the husband's employment did not come up and accordingly was not given to her; father or the Russian Embassy.; For file:,,,,,191
Departure Date; 13 Aug 60,Boris D. Tarasoff,,,,Office; FDD/OO; Destination; Mexico City,,,,192
,,,,,,,,For file:,193
14-4 (date mentioned),Mr. Jones,,,Inquiry regarding obligations to a subject.; Final decision dependent on subject's background.,None identifiable,,Inquiry made regarding obligations to a subject.,PCS (possibly a classification or code); For file:,194
